t_ms,adc
1118351,363
1118361,361
1118371,364
1118381,363
1118391,361
1118401,359
1118411,361
1118421,362
1118431,360
1118441,362
1118451,368
1118461,362
1118471,359
1118481,363
1118491,362
1118501,357
1118511,359
1118521,362
1118531,362
1118541,360
1118551,363
1118561,357
1118571,371
1118581,355
1118591,359
1118601,356
1118611,360
1118621,360
1118631,359
1118641,368
1118651,355
1118661,366
1118671,366
1118681,358
1118691,361
1118701,361
1118711,358
1118721,361
1118731,363
1118741,359
1118751,367
1118761,360
1118771,365
1118781,360
1118791,359
1118801,358
1118811,356
1118821,359
1118831,355
1118841,364
1118851,362
1118861,365
1118871,360
1118881,357
1118891,360
1118901,361
1118911,365
1118921,362
1118931,361
1118941,361
1118951,360
1118961,366
1118971,361
1118981,358
1118991,362
1119001,361
1119011,362
1119021,358
1119031,354
1119041,363
1119051,353
1119061,365
1119071,364
1119081,361
1119091,364
1119101,357
1119111,361
1119121,364
1119131,356
1119141,361
1119151,360
1119161,359
1119171,360
1119181,358
1119191,362
1119201,360
1119211,366
1119221,357
1119231,362
1119241,360
1119251,362
1119261,363
1119271,359
1119281,359
1119291,360
1119301,360
1119311,357
1119321,365
1119331,363
1119341,365
1119351,362
1119361,360
1119371,359
1119381,362
1119391,360
1119401,361
1119411,357
1119421,361
1119431,358
1119441,361
1119451,356
1119461,360
1119471,362
1119481,359
1119491,365
1119501,360
1119511,366
1119521,363
1119531,363
1119541,362
1119551,356
1119561,363
1119571,361
1119581,363
1119591,358
1119601,364
1119611,363
1119621,361
1119631,358
1119641,357
1119651,357
1119661,367
1119671,363
1119681,354
1119691,363
1119701,358
1119711,362
1119721,355
1119731,362
1119741,358
1119751,366
1119761,358
1119771,359
1119781,365
1119791,359
1119801,366
1119811,354
1119821,361
1119831,363
1119841,358
1119851,364
1119861,358
1119871,365
1119881,353
1119891,365
1119901,361
1119911,358
1119921,364
1119931,364
1119941,360
1119951,364
1119961,365
1119971,354
1119981,359
1119991,364
1120001,357
1120011,360
1120021,359
1120031,361
1120041,362
1120051,366
1120061,366
1120071,363
1120081,360
1120091,363
1120101,362
1120111,360
1120121,362
1120131,352
1120141,363
1120151,358
1120161,363
1120171,363
1120181,367
1120191,360
1120201,368
1120211,356
1120221,360
1120231,364
1120241,358
1120251,357
1120261,358
1120271,355
1120281,361
1120291,362
1120301,363
1120311,358
1120321,352
1120331,359
1120341,366
1120351,360
1120361,363
1120371,363
1120381,362
1120391,349
1120401,365
1120411,357
1120421,365
1120431,363
1120441,358
1120451,356
1120461,366
1120471,362
1120481,364
1120491,362
1120501,367
1120511,359
1120521,359
1120531,361
1120541,367
1120551,365
1120561,364
1120571,357
1120581,360
1120591,357
1120601,352
1120611,354
1120621,359
1120631,360
1120641,351
1120651,357
1120661,371
1120671,363
