t_ms,adc,p_kpa,pump
5394,941,0.562164,0
5404,938,0.140533,0
5414,939,0.281082,0
5424,947,1.405426,0
5434,941,0.562164,0
5444,945,1.124344,0
5454,947,1.405426,0
5464,939,0.281082,0
5474,937,0,0
5484,937,0,0
5494,944,0.983795,0
5504,954,2.389214,0
5514,935,-0.281082,0
5524,930,-0.983788,0
5534,938,0.140533,0
5544,939,0.281082,0
5554,931,-0.843239,0
5564,940,0.421631,0
5574,940,0.421631,0
5584,932,-0.702713,0
5594,945,1.124344,0
5604,940,0.421631,0
5614,940,0.421631,0
5624,935,-0.281082,0
5634,940,0.421631,0
5644,932,-0.702713,0
5654,939,0.281082,0
5664,941,0.562164,0
5674,926,-1.545952,0
5684,939,0.281082,0
5694,942,0.702713,0
5704,938,0.140533,0
5714,933,-0.562157,0
5724,934,-0.421631,0
5734,944,0.983795,0
5744,939,0.281082,0
5754,939,0.281082,0
5764,936,-0.140526,0
5774,938,0.140533,0
5784,945,1.124344,0
5794,944,0.983795,0
5804,944,0.983795,0
5814,941,0.562164,0
5824,946,1.26487,0
5834,949,1.686508,0
5844,944,0.983795,0
5854,945,1.124344,0
5864,938,0.140533,0
5874,937,0,0
5884,937,0,0
5894,932,-0.702713,0
5904,947,1.405426,0
5914,945,1.124344,0
5924,946,1.26487,0
5934,945,1.124344,0
5944,944,0.983795,0
5954,950,1.827034,0
5964,937,0,0
5974,947,1.405426,0
5984,946,1.26487,0
5994,938,0.140533,0
6004,946,1.26487,0
6014,942,0.702713,0
6024,942,0.702713,0
6034,948,1.545952,0
6044,950,1.827034,0
6054,941,0.562164,0
6064,950,1.827034,0
6074,947,1.405426,0
6084,937,0,0
6094,933,-0.562157,0
6104,943,0.843239,0
6114,942,0.702713,0
6124,936,-0.140526,0
6134,934,-0.421631,0
6144,946,1.26487,0
6154,935,-0.281082,0
6164,947,1.405426,0
6174,945,1.124344,0
6184,941,0.562164,0
6194,936,-0.140526,0
6204,948,1.545952,0
6214,951,1.967583,0
6224,929,-1.124344,0
6234,946,1.26487,0
6244,940,0.421631,0
6254,935,-0.281082,0
6264,935,-0.281082,0
6274,953,2.248665,0
6284,935,-0.281082,0
6294,936,-0.140526,0
6304,937,0,0
6314,945,1.124344,0
6324,942,0.702713,0
6334,936,-0.140526,0
6344,949,1.686508,0
6354,938,0.140533,0
6364,943,0.843239,0
6374,944,0.983795,0
6384,948,1.545952,0
6394,935,-0.281082,0
6404,936,-0.140526,0
6414,949,1.686508,0
6424,949,1.686508,0
6434,948,1.545952,0
6444,943,0.843239,0
6454,948,1.545952,0
6464,939,0.281082,0
6474,944,0.983795,0
6484,936,-0.140526,0
6494,946,1.26487,0
6504,941,0.562164,0
6514,938,0.140533,0
6524,937,0,0
6534,935,-0.281082,0
6544,940,0.421631,0
6554,937,0,0
6564,944,0.983795,0
6574,938,0.140533,0
6584,939,0.281082,0
6594,934,-0.421631,0
6604,935,-0.281082,0
6614,934,-0.421631,0
6624,934,-0.421631,0
6634,937,0,0
6644,932,-0.702713,0
6654,934,-0.421631,0
6664,938,0.140533,0
6674,937,0,0
6684,939,0.281082,0
6694,936,-0.140526,0
6704,939,0.281082,0
6714,931,-0.843239,0
6724,934,-0.421631,0
6734,942,0.702713,0
6744,933,-0.562157,0
6754,940,0.421631,0
6764,940,0.421631,0
6774,935,-0.281082,0
6784,930,-0.983788,0
6794,942,0.702713,0
6804,933,-0.562157,0
6814,941,0.562164,0
6824,942,0.702713,0
6834,935,-0.281082,0
6844,940,0.421631,0
6854,936,-0.140526,0
6864,940,0.421631,0
6874,934,-0.421631,0
6884,950,1.827034,0
6894,943,0.843239,0
6904,944,0.983795,0
6914,934,-0.421631,0
6924,947,1.405426,0
6934,943,0.843239,0
6944,947,1.405426,0
6954,939,0.281082,0
6964,940,0.421631,0
6974,936,-0.140526,0
6984,937,0,0
6994,941,0.562164,0
7004,939,0.281082,0
7014,947,1.405426,0
7024,952,2.108116,0
7034,947,1.405426,0
7044,946,1.26487,0
7054,940,0.421631,0
7064,944,0.983795,0
7074,941,0.562164,0
7084,935,-0.281082,0
7094,937,0,0
7104,936,-0.140526,0
7114,938,0.140533,0
7124,942,0.702713,0
7134,937,0,0
7144,937,0,0
7154,938,0.140533,0
7164,937,0,0
7174,945,1.124344,0
7184,941,0.562164,0
7194,942,0.702713,0
7204,934,-0.421631,0
7214,940,0.421631,0
7224,938,0.140533,0
7234,932,-0.702713,0
7244,946,1.26487,0
7254,945,1.124344,0
7264,946,1.26487,0
7274,944,0.983795,0
7284,935,-0.281082,0
7294,953,2.248665,0
7304,938,0.140533,0
7314,941,0.562164,0
7324,938,0.140533,0
7334,937,0,0
7344,940,0.421631,0
7354,943,0.843239,0
7364,942,0.702713,0
7374,937,0,0
7384,945,1.124344,0
7394,933,-0.562157,0
7404,947,1.405426,0
7414,939,0.281082,0
7424,940,0.421631,0
7434,946,1.26487,0
7444,935,-0.281082,0
7454,941,0.562164,0
7464,947,1.405426,0
7474,953,2.248665,0
7484,934,-0.421631,0
7494,940,0.421631,0
7504,947,1.405426,0
7514,944,0.983795,0
7524,948,1.545952,0
7534,940,0.421631,0
7544,938,0.140533,0
7554,946,1.26487,0
7564,940,0.421631,0
7574,936,-0.140526,0
7584,935,-0.281082,0
7594,939,0.281082,0
7604,936,-0.140526,0
7614,945,1.124344,0
7624,938,0.140533,0
7634,938,0.140533,0
7644,942,0.702713,0
7654,939,0.281082,0
7664,936,-0.140526,0
7674,937,0,0
7684,935,-0.281082,0
7694,934,-0.421631,0
7704,941,0.562164,0
7714,934,-0.421631,0
7724,937,0,0
7734,940,0.421631,0
7744,943,0.843239,0
7754,939,0.281082,0
7764,942,0.702713,0
7774,937,0,0
7784,937,0,0
7794,947,1.405426,0
7804,935,-0.281082,0
7814,944,0.983795,0
7824,941,0.562164,0
7834,942,0.702713,0
7844,948,1.545952,0
7854,945,1.124344,0
7864,943,0.843239,0
7874,936,-0.140526,0
7884,936,-0.140526,0
7894,941,0.562164,0
7904,933,-0.562157,0
7914,938,0.140533,0
7924,935,-0.281082,0
7934,937,0,0
7944,943,0.843239,0
7954,940,0.421631,0
7964,945,1.124344,0
7974,936,-0.140526,0
7984,938,0.140533,0
7994,928,-1.26487,0
8004,944,0.983795,0
8014,946,1.26487,0
8024,936,-0.140526,0
8034,935,-0.281082,0
8044,936,-0.140526,0
8054,943,0.843239,0
8064,943,0.843239,0
8074,944,0.983795,0
8084,949,1.686508,0
8094,947,1.405426,0
8104,934,-0.421631,0
8114,948,1.545952,0
8124,944,0.983795,0
8134,937,0,0
8144,935,-0.281082,0
8154,930,-0.983788,0
8164,944,0.983795,0
8174,940,0.421631,0
8184,938,0.140533,0
8194,949,1.686508,0
8204,947,1.405426,0
8214,938,0.140533,0
8224,940,0.421631,0
8234,943,0.843239,0
8244,940,0.421631,0
8254,944,0.983795,0
8264,938,0.140533,0
8274,938,0.140533,0
8284,942,0.702713,0
8294,947,1.405426,0
8304,950,1.827034,0
8314,943,0.843239,0
8324,933,-0.562157,0
8334,930,-0.983788,0
8344,931,-0.843239,0
8354,941,0.562164,0
8364,948,1.545952,0
8374,942,0.702713,0
8384,935,-0.281082,0
8394,939,0.281082,0
8404,939,0.281082,0
8414,938,0.140533,0
8424,933,-0.562157,0
8434,948,1.545952,0
8444,939,0.281082,0
8454,951,1.967583,0
8464,945,1.124344,0
8474,944,0.983795,0
8484,945,1.124344,0
8494,942,0.702713,0
8504,934,-0.421631,0
8514,932,-0.702713,0
8524,941,0.562164,0
8534,940,0.421631,0
8544,944,0.983795,0
8554,939,0.281082,0
8564,938,0.140533,0
8574,940,0.421631,0
8584,943,0.843239,0
8594,942,0.702713,0
8604,943,0.843239,0
8614,939,0.281082,0
8624,941,0.562164,0
8634,936,-0.140526,0
8644,934,-0.421631,0
8654,936,-0.140526,0
8664,936,-0.140526,0
8674,933,-0.562157,0
8684,949,1.686508,0
8694,935,-0.281082,0
8704,944,0.983795,0
8714,944,0.983795,0
8724,937,0,0
8734,934,-0.421631,0
8744,936,-0.140526,0
8754,938,0.140533,0
8764,936,-0.140526,0
8774,938,0.140533,0
8784,937,0,0
8794,936,-0.140526,0
8804,935,-0.281082,0
8814,930,-0.983788,0
8824,932,-0.702713,0
8834,934,-0.421631,0
8844,942,0.702713,0
8854,941,0.562164,0
8864,935,-0.281082,0
8874,937,0,0
8884,943,0.843239,0
8894,934,-0.421631,0
8904,937,0,0
8914,936,-0.140526,0
8924,940,0.421631,0
8934,941,0.562164,0
8944,946,1.26487,0
8954,946,1.26487,0
8964,948,1.545952,0
8974,948,1.545952,0
8984,942,0.702713,0
8994,931,-0.843239,0
9004,936,-0.140526,0
9014,934,-0.421631,0
9024,942,0.702713,0
9034,940,0.421631,0
9044,952,2.108116,0
9054,941,0.562164,0
9064,945,1.124344,0
9074,942,0.702713,0
9084,941,0.562164,0
9094,946,1.26487,0
9104,934,-0.421631,0
9114,939,0.281082,0
9124,935,-0.281082,0
9134,941,0.562164,0
9144,934,-0.421631,0
9154,943,0.843239,0
9164,945,1.124344,0
9174,932,-0.702713,0
9184,940,0.421631,0
9194,931,-0.843239,0
9204,938,0.140533,0
9214,934,-0.421631,0
9224,940,0.421631,0
9234,937,0,0
9244,942,0.702713,0
9254,933,-0.562157,0
9264,941,0.562164,0
9274,941,0.562164,0
